Date,Time,Date and Time,Symbol,Open,High,Low,Close,VWAP,Volume,Up Ticks,Down Ticks,Same Ticks,Tick Count
05/16/2024,04:01,05/16/2024 04:01,TYM24,109.781250,109.781250,109.765625,109.765625,109.771210,42,0,1,6,7
05/16/2024,04:02,05/16/2024 04:02,TYM24,109.765625,109.781250,109.765625,109.765625,109.765950,1150,1,1,17,19
05/16/2024,04:03,05/16/2024 04:03,TYM24,109.765625,109.765625,109.765625,109.765625,109.765630,107,0,0,1,1
05/16/2024,04:04,05/16/2024 04:04,TYM24,109.765625,109.765625,109.750000,109.765625,109.765600,2975,1,1,195,197
05/16/2024,04:05,05/16/2024 04:05,TYM24,109.765625,109.765625,109.765625,109.765625,109.765630,318,0,0,13,13
05/16/2024,04:06,05/16/2024 04:06,TYM24,109.781250,109.781250,109.765625,109.765625,109.767860,49,3,3,6,12
05/16/2024,04:07,05/16/2024 04:07,TYM24,109.781250,109.781250,109.765625,109.781250,109.780130,14,2,1,1,4
05/16/2024,04:08,05/16/2024 04:08,TYM24,109.781250,109.781250,109.765625,109.765625,109.780090,54,0,1,2,3
05/16/2024,04:09,05/16/2024 04:09,TYM24,109.765625,109.781250,109.765625,109.765625,109.773530,89,1,1,8,10
05/16/2024,04:10,05/16/2024 04:10,TYM24,109.781250,109.781250,109.765625,109.765625,109.765720,162,1,1,2,4
05/16/2024,04:11,05/16/2024 04:11,TYM24,109.765625,109.765625,109.750000,109.765625,109.765610,1654,1,1,108,110
05/16/2024,04:12,05/16/2024 04:12,TYM24,109.765625,109.781250,109.765625,109.765625,109.774230,207,4,4,24,32
05/16/2024,04:13,05/16/2024 04:13,TYM24,109.765625,109.781250,109.765625,109.765625,109.765720,675,1,1,78,80
05/16/2024,04:14,05/16/2024 04:14,TYM24,109.765625,109.765625,109.750000,109.765625,109.765090,147,1,1,26,28
05/16/2024,04:15,05/16/2024 04:15,TYM24,109.765625,109.765625,109.765625,109.765625,109.765630,782,0,0,81,81
